Facility Name,Sample Point Type,PWS ID,PWS Name,Facility Water Type,Latitude,Longitude,EPA Region,State Territory or Tribe,Population Served,6:2 FTS,8:2 FTS,ADONA,HFPO-DA,NEtFOSAA,PFBA,PFBS,PFDA,PFDoA,PFHpA,PFHxA,PFHxS,PFMPA,PFNA,PFOA,PFOS,PFPeA,PFPeS,PFUnA,Grand Total
Malcolm Road,EP,FL3481546,OCUD/WESTERN REGIONAL WTR SYS (4 WPS),GW-Groundwater,28.458671,-81.200428,04, FL,"206,742",,,,,,,,,,,,,,,,4.7,,,,4.7
MALCOMSON ROAD UTILITY DISTRICT,EP,TX1010495,MALCOMSON ROAD UTILITY DISTRICT,SW-Surface Water,30.001093,-95.586668,06, TX,"7,231",,,,,,6.2,,,,,,,,,,,,,,6.2
Manchester Intertie,EP,NH1181010,CENTRAL HOOKSETT WATER PCT,SW-Surface Water,43.057375,-71.432237,01, NH,"4,300",,,,,,,,,,,,,,,4.7,,,,,4.7
Mangular Blend (SB-10),EP,CA3310037,"CORONA, CITY OF","MX-Any combination of GW, SW, and GU",33.823690261509,-117.53965254776,09, CA,"168,751",,,,,,,,,,,,,,,,,3.6,,,3.6
MANLEY ST WELL #3A/3B,EP,MA4322000,WEST BRIDGEWATER WATER DEPT,GW-Groundwater,42.025938,-71.009823,01, MA,"7,668",,,,,,11,,,,,13,,,,,,17,,,41
Mansfield SWTP,EP,TX2200018,CITY OF MANSFIELD,SW-Surface Water,32.569804,-97.126114,06, TX,"77,040",,,,,,6.4,,,,,,,,,,,3.8,,,10.2
MARENGO,EP,IL1110650,MARENGO,GW-Groundwater,42.246155,-88.6081,05, IL,"7,572",,,,,,,7.1,,,,,,,,,,,,,7.1
MARION COUNTY PWSD 1,EP,MO2024377,MARION COUNTY PWSD 1,SW-Surface Water,39.839446,-91.740351,07, MO,"4,900",,,,,,19.8,,,,,,,,,,,,,,19.8
Marlboro Township Consecutive Connection,EP,NJ1326001,GORDONS CORNER WATER CO,SW-Surface Water,40.303176,-74.301106,02, NJ,"46,196",,,,,,,,,,,11.4,,,,,,,,,11.4
Marsh Lane,EP,TX0570047,CITY OF FARMERS BRANCH,SW-Surface Water,32.92715,-96.880513,06, TX,"35,991",,,,,,7.3,3.1,,,,4.5,,,,,,4.4,,,19.3
Martinsburg Connection,EP,WV3300202,BERKELEY CO P S W D-BUNKER HILL,GU-Groundwater Under Influence of Surface Water,39.433833,-77.976,03, WV,"34,586",,,,,,8,,,,,5,,,,,,19.5,,,32.5
MARYSVILLE OTISCO NABB PUMP STATION,EP,IN5210006,MARYSVILLE OTISCO NABB WATER CORP.,GW-Groundwater,38.5307,-85.686025,05, IN,"6,352",,,,,,,,,,,,,,,14.5,,,,,14.5
MARYVILLE PWS,EP,MO1010508,MARYVILLE PWS,SW-Surface Water,40.341427,-94.871864,07, MO,"10,775",,,,,,8.7,,,,,,,,,,,,,,8.7
Mashpee Village Well #6,EP,MA4172039,MASHPEE WATER DISTRICT,GW-Groundwater,41.619881,-70.498547,01, MA,"36,825",,,,,,8,,,,,,,,,,,,,,8
Master Meter,EP,SC1010005,FOLLY BEACH CITY OF (1010005),SW-Surface Water,32.661188,-79.931899,04, SC,"5,086",,,,,,,4.1,,,3.1,6,,,,5,8.1,5.5,,,31.8
Master Meter,,SC4610003,FORT MILL TOWN OF (SC4610003),SW-Surface Water,35.039041,-80.96652,04, SC,"20,783",,,,,,,,,,,4.4,,,,,,4.6,,,9
Master Meter,,TX2200054,CITY OF HURST,SW-Surface Water,32.835215,-97.180955,06, TX,"38,510",,,,,,5.4,,,,,,,,,,,,,,5.4
Master Meter City of Columbia,EP,SC3250077,AMICKS FERRY WTR SYSTEM (3250077),SW-Surface Water,34.151364,-81.351103,04, SC,"3,671",,,,6.7,,,,,,,3.9,,,,,7.3,4.2,,,22.1
Mauldin Road Water Plant,EP,GA1290000,CALHOUN,SW-Surface Water,34.500786,-84.938048,04, GA,"49,088",,,,,,6.8,130,,,3.1,8.4,,,,11,7.8,10,,,177.1
Maxton Plant Clearwell,EP,NC0378055,ROBESON COUNTY WATER SYSTEM,GW-Groundwater,34.639601,-79.102574,04, NC,"65,303",,,,,,,,,,4.6,7.8,,,,11,5.6,8.9,,,37.9
MAYSVILLE REGIONAL WATER,EP,OH6001411,MAYSVILLE REGIONAL WATER,SW-Surface Water,39.854928,-82.129763,05, OH,"6,540",,,,,,,,,,,,,,,4,,,,,4
McDonald Well,EP,WA5389250,TRENTWOOD IRRIGATION DISTRICT 3,GW-Groundwater,47.725704,-117.211782,10, WA,"4,188",,,,,,,4.9,,,,4,,,,5.1,12,3.9,,,29.9
McFarland,EP,WI1130241,MCFARLAND WATERWORKS,GW-Groundwater,43.014521,-89.293343,05, WI,"9,331",,,,,,,,,,,,3.7,,,,,,,,3.7
MCINTOSH CO. RWD #8 (TEXANNA),EP,OK1020529,MCINTOSH CO. RWD #8 (TEXANNA),SW-Surface Water,35.336163,-95.542581,06, OK,"3,574",,,,,,5.1,,,,,,,,,,,3.3,,,8.4
McKeon TP,EP,MA4211000,NORTH ATTLEBORO WATER DEPT,GW-Groundwater,41.967187,-71.296215,01, MA,"28,712",,,,,,,3,,,,,3,,,7,5,3,,,21
McMillan Connection,EP,DC0000002,D.C. WATER AND SEWER AUTHORITY,SW-Surface Water,38.927162,-77.029641,03, DC,"632,323",,,,,,,,,,,3.1,,,,,,4.7,,,7.8
MEADOW WELL,EP,PA7670088,SHREWSBURY BOROUGH,GW-Groundwater,39.773238,-76.687501,03, PA,"4,727",,,,,,,3.7,,,,3.2,,,,,,3.1,,,10
Melbourne WTP,EP,FL3051447,"MELBOURNE, CITY OF","MX-Any combination of GW, SW, and GU",28.112974,-80.68067,04, FL,"167,460",,,,,,,4,,,,,,,,,,,,,4
MEMBRANE PLANT,EP,CO0101157,TODD CREEK VILLAGE MD,GU-Groundwater Under Influence of Surface Water,39.972729,-104.87165,08, CO,"7,202",,,,,,,8.9,,,,3.7,4,,,,4.4,3.9,,,24.9
MEMBRANE PLANT,,TX1780005,NUECES COUNTY WCID 3,SW-Surface Water,27.826973,-97.65147,06, TX,"13,200",,,,,,12,,,,,,,,,,,,,,12
MERCER COUNTY PWSD 1,EP,MO2024382,MERCER COUNTY PWSD 1,SW-Surface Water,40.47574,-93.470037,07, MO,"3,200",,,,,,25,,,,,,,,,,,,,,25
Meribrook TP,EP,NJ0338001,WILLINGBORO MUA,GW-Groundwater,40.025871,-74.883539,02, NJ,"35,000",,,,,,,,,,,,5.8,,,,9.4,,,,15.2
Mesquite,EP,TX0200005,CITY OF FREEPORT,SW-Surface Water,28.938762,-95.360402,06, TX,"12,098",,,,,,12.7,,,,,4.1,,,,,,73,,,89.8
Metcalf Plant,EP,OH0903912,SOUTHWEST REGIONAL WATER DISTRICT,GW-Groundwater,39.382438,-84.681342,05, OH,"43,108",,,,,,,3.1,,,,,,,,,,,,,3.1
Meter Vault,EP,SC2410003,WARE SHOALS TOWN OF (2410003),SW-Surface Water,34.39942,-82.253394,04, SC,"3,174",,,,8.4,,,3.2,,,,3.9,,,,,4.7,3.8,,,24
Meter Vault at Building 55 (USAF HONOR GUARD),EP,DC0000004,JOINT BASE ANACOSTIA - BOLLING,SW-Surface Water,38.829853,-77.000746,03, DC,"17,201",,,,,,,,,,,4.2,,,,,,4,,,8.2
Meter Vault at Westover and Dinger,EP,DC0000004,JOINT BASE ANACOSTIA - BOLLING,SW-Surface Water,38.829853,-77.000746,03, DC,"17,201",,,,,,,,,,,4.3,,,,,,4,,,8.3
Meter Vault at Westover and Rice,EP,DC0000004,JOINT BASE ANACOSTIA - BOLLING,SW-Surface Water,38.829853,-77.000746,03, DC,"17,201",,,,,,,,,,,3.9,,,,,,4.2,,,8.1
Methodist Pump Station,EP,TX0700031,CITY OF RED OAK,SW-Surface Water,32.517933,-96.826663,06, TX,"10,934",,,,,,9.5,4.9,,,,5.8,,,,,,5.7,,,25.9
Methuen WTP,EP,MA3181000,METHUEN WATER DEPT,SW-Surface Water,42.750108,-71.163194,01, MA,"52,798",,,,,,,,,,,3,,,,,,3,,,6
MGS Treatment Plant (1353367),EP,OH1302212,CLERMONT PUBLIC WATER SYSTEM,GW-Groundwater,39.047916,-84.242848,05, OH,"133,059",,,,,,,,,,,,,,,,10.1,3.3,,,13.4
Miami-Dade Connection,EP,FL4130977,"NORTH MIAMI, CITY OF",GW-Groundwater,25.896088,-80.178861,04, FL,"88,349",12,,,,,9.3,,,,3,6.3,,,,,11,7.8,,,49.4
Middlesex Consecutive Connection,EP,NJ1209002,OLD BRIDGE MUA,SW-Surface Water,40.40964,-74.300423,02, NJ,"67,215",,,,,,5.2,,,,,3,,,,6.9,,,,,15.1
Midlothian I/C,EP,TX0570048,CITY OF GRAND PRAIRIE,SW-Surface Water,32.688141,-97.020974,06, TX,"187,050",,,,,,6.1,3.2,,,,5.3,,,,,,6.3,,,20.9
Midlothian Water Intertie,EP,TX0700033,ROCKETT SUD,SW-Surface Water,32.487372,-96.721152,06, TX,"40,797",,,,,,6.4,,,,,5.6,,,,,,5.8,,,17.8
Mile Lane GP Well,EP,MA3144000,IPSWICH DPU  WATER DEPT,GW-Groundwater,42.692496,-70.898572,01, MA,"13,809",,,,,,,,,,3.2,11.2,,,,5.6,,10.5,,,30.5
Mill Pond,EP,MA3048000,BURLINGTON WATER DEPT,SW-Surface Water,42.506944,-71.208351,01, MA,"26,237",,,,,,7.9,,,,,,,,,,,,,,7.9
Mill Rd TP,EP,NH1051010,AQUARION WATER/NH,GW-Groundwater,42.92555,-70.840959,01, NH,"34,000",,,,,,,,,,,4.3,,,,,,11.7,,,16
Millburn Pump Station,EP,NJ0705001,EAST ORANGE WATER COMMISSION,GW-Groundwater,40.765075,-74.211657,02, NJ,"75,000",,,,,,,,,,,,,,,13,,,,,13
MILLBURY AVE DUG WELL (24 WIDE),EP,MA2186000,"AQUARION WATER COMPANY, MILLBURY",GU-Groundwater Under Influence of Surface Water,42.208169,-71.754581,01, MA,"9,553",,,,,,,3.4,,,,,,,,,,,,,3.4
MILLS ROAD MUD,EP,TX1011107,MILLS ROAD MUD,GW-Groundwater,29.955162,-95.567939,06, TX,"5,265",,,,,,,,,,,,,,,,,3.7,,,3.7
MIMS,EP,FL3050834,MIMS WATER TREATMENT / NORTH BREVARD CO.,GW-Groundwater,28.670641,-80.864004,04, FL,"7,958",,,,,,5.8,5.4,,,3.7,4.6,,,,8.2,15,6.8,,,49.5
Mission Treatment Plant,EP,MI0006725,UNION TOWNSHIP,GW-Groundwater,43.608196,-84.741461,05, MI,"12,927",,,,,,,4.8,,,,,,,,,,,,,4.8
Mitchell Filter,EP,NC0241010,"GREENSBORO, CITY OF",SW-Surface Water,36.084693,-79.791649,04, NC,"320,756",,,,,,,4.2,,,,5.8,14.6,,,4.1,27.6,4.6,,,60.9
MITCHELL PWD,EP,IL1195210,MITCHELL PWD,SW-Surface Water,38.763085,-90.081618,05, IL,"4,787",,,,,,15,,,,,4.3,,,,,,4.5,,,23.8
Mixed GW and Connection - Standpipe,EP,TX1020074,HARLETON WSC,"MX-Any combination of GW, SW, and GU",32.696859,-94.514992,06, TX,"5,040",6.8,,,,,,,,,,,,,,,,,,,6.8
MO AMERICAN JEFFERSON CITY DISTRICT,EP,MO3010409,MO AMERICAN JEFFERSON CITY DISTRICT,SW-Surface Water,38.568622,-92.199522,07, MO,"30,075",,,,,,7.2,,,,,,,,,,,,,,7.2
MO AMERICAN ST LOUIS ST CHARLES COUNTIES,EP,MO6010716,MO AMERICAN ST LOUIS ST CHARLES COUNTIES,SW-Surface Water,38.643705,-90.442991,07, MO,"1,100,000",,,,,,10.1,,,,,,,,,,,,,,10.1
MOBERLY PWS,EP,MO2010533,MOBERLY PWS,SW-Surface Water,39.420602,-92.43904,07, MO,"12,101",,,,,,7.3,,,,,,,,,,,,,,7.3
Mockingbird Chloramination Station,EP,CA3310049,WESTERN MWD,"MX-Any combination of GW, SW, and GU",33.843436,-117.376617,09, CA,"82,560",,,,,,,,,,,,,,,,,4.7,,,4.7
Monocacy River Filter Plant,EP,MD0100015,CITY OF FREDERICK,SW-Surface Water,39.436913,-77.420595,03, MD,"54,000",,,,,,,,,,,,,,,,,3.1,,,3.1
Monroe,EP,GA2970008,WALTON CO. WATER & SEWER AUTH.,SW-Surface Water,33.881836,-83.872121,04, GA,"40,400",,,,,,,3,,,,,,,,,,,,,3
MONROE CITY PWS,EP,MO2010538,"MONROE CITY PWS, MO",SW-Surface Water,39.654635,-91.731491,07, MO,"2,443",,,,,,5,,,,,,,,,,,,,,5
MONROE COUNTY PWSD 2,EP,MO2024402,MONROE COUNTY PWSD 2,SW-Surface Water,39.326401606899,-91.808400347723,07, MO,"6,677",,,,,,6.3,,,,,,,,,,,,,,6.3
MONROE VILLAGE,EP,NY3503535,MONROE VILLAGE,SW-Surface Water,41.32,-74.18716,02, NY,"9,753",,,,,,6.7,,,,4.5,7.6,,,,13.1,4.7,11.1,,,47.7
Monroe Water Plant,EP,GA2970001,"MONROE, GA",SW-Surface Water,33.790297,-83.716871,04, GA,"23,997",,,,,,,4.2,,,,,,,,,,,,,4.2
Monroe Water Treatment Plant,EP,LA1073031,"MONROE WATER SYSTEM, LA",SW-Surface Water,32.525715,-92.091943,06, LA,"57,000",,,,,,5.6,,,,,,,,,,,,,,5.6
MONTEVALLO WATER WORKS & SEWER,EP,AL0001160,MONTEVALLO WATER WORKS & SEWER,GU-Groundwater Under Influence of Surface Water,33.055709,-86.794846,04, AL,"9,741",,,,,,,,,,,3,5.6,,,,12.5,3.6,,,24.7
MONTGOMERY COUNTY MUD 15,EP,TX1700118,MONTGOMERY COUNTY MUD 15,GW-Groundwater,30.212199,-95.426881,06, TX,"6,003",5.6,,,,,,4.4,,,,,,,,,,,,,10
Montgomery Water connection,EP,AL0000551,WETUMPKA WATER WORKS & SEWER BOARD,SW-Surface Water,32.534407,-86.19505,04, AL,"10,023",,,,,,5.3,,,,,,,,,,,,,,5.3
Moody  Treatment  Plant,EP,ME0090870,LISBON WATER DEPARTMENT,GW-Groundwater,44.010198,-70.063366,01, ME,"6,150",,,,,,,,,,,5.5,,,,,,4.5,,,10
Moody Treatment Plant,EP,ME0090870,LISBON WATER DEPARTMENT,GW-Groundwater,44.010198,-70.063366,01, ME,"6,150",,,,,,,,,,,,,,,,,3.4,,,3.4
MORGANFIELD WATER WORKS,EP,KY1130293,MORGANFIELD WATER WORKS,SW-Surface Water,37.85812,-87.898223,04, KY,"5,170",,,,,,,,,,,,,,,,,3,,,3
Morris Bridge WTF,EP,FL6290327,CITY OF TAMPA WATER DEPARTMENT,"MX-Any combination of GW, SW, and GU",27.983336,-82.42435,04, FL,"717,000",,,,,,,3.5,,,,5.1,,,,,,7,,,15.6
Morris Delair WTP,EP,NJ0408001,CITY OF CAMDEN,GW-Groundwater,39.920467,-75.108957,02, NJ,"46,585",,,,,,7,,,,4.4,6.4,,,6.2,10.6,12.9,7.5,,,55
"Morris Wells #1, #2 & #3",EP,AZ0405005,SAFFORD CITY OF,GW-Groundwater,32.822147,-109.660887,09, AZ,"20,600",,,,,,,53,,,,,,,,,,,,,53
MORRISON SWTP01,EP,CO0130085,MORRISON TOWN OF,SW-Surface Water,39.650263,-105.195796,08, CO,"9,887",,,,,,,,,,,3.4,,,,,,,,,3.4
Morse Creek Water Treatment Plant,EP,WA5343296,PORT ANGELES COMPOSITE,SW-Surface Water,48.083963,-123.34396,10, WA,"11,248",,,,,,5,,,,,,,,,,,,,,5
Motts Run WTP,EP,VA6177300,SPOTSYLVANIA COUNTY UTILITIES,SW-Surface Water,38.256763,-77.548996,03, VA,"92,826",,,,,,,,,,,3.1,,,,,,6.4,,,9.5
MOUNT OLIVE TWP W D MAIN,EP,NJ1427005,MOUNT OLIVE TWP W D MAIN,GW-Groundwater,40.83672,-74.700867,02, NJ,"7,887",,,,,,,,,,,10.6,,,,18.1,14.1,14.4,,,57.2
MOUNT ORAB VILLAGE PWS,EP,OH0801011,MOUNT ORAB VILLAGE PWS,SW-Surface Water,39.028541,-83.918056,05, OH,"6,607",,,,,,5.5,,,,,,,,,,,,,,5.5
MOUNT VERNON WATER WORKS,EP,IN5265006,MOUNT VERNON WATER WORKS,SW-Surface Water,37.936055,-87.894766,05, IN,"8,912",,,,5.3,,,,,,,3.2,,,,4,,3.7,,,16.2
MOUNTAIN HOME AIR FORCE BASE,EP,ID4200054,MOUNTAIN HOME AIR FORCE BASE,GW-Groundwater,43.044443,-115.863423,10, ID,"7,500",,,,,,,4.8,,,,13,10,,,,,6.7,,,34.5
MOUNTAINEER PARK INC,EP,WV3301520,MOUNTAINEER PARK INC,GW-Groundwater,40.6129239,-80.5627301,03, WV,"5,760",,,,,,,5.7,,,3.5,,,,,8,,,,,17.2
MPTN WTP,EP,010106001,Mashantucket Pequot Water System,GU-Groundwater Under Influence of Surface Water,41.464584,-71.972828,01,Other,"37,807",,,,,,6.5,3.4,,,3.3,9.7,,,,6.6,,19.1,,,48.6
MS-05,EP,VA6153600,PWCSA - EAST,SW-Surface Water,38.633739,-77.391596,03, VA,"168,747",,,,,,7.6,4.3,,,3.9,9.3,,,,4.7,4.7,10,,,44.5
MT OLIVE VILLAGES WATER,EP,NJ1427001,MT OLIVE VILLAGES WATER,GW-Groundwater,40.849611,-74.757822,02, NJ,"5,000",,,,,,,,,,,11.1,,,,18.5,14.5,15.2,,,59.3
Mt. Carmel Plant,EP,TX1550008,CITY OF WACO,SW-Surface Water,31.54832,-97.193726,06, TX,"143,355",,,,,,5.4,,,,,,,,,,,,,,5.4
"Mt.Zion WTP (Wells 1,6, & 8)",EP,AL0000878,HARVEST-MONROVIA WATER SYSTEM,GU-Groundwater Under Influence of Surface Water,34.884204,-86.778425,04, AL,"51,912",,,,,,,4.7,,,,3.1,,,,4.4,4.1,3.8,,,20.1
MUB-Intertie,EP,AL0000943,GUNTERSVILLE WATER WORKS & SEWER BOARD,SW-Surface Water,34.316777,-86.308636,04, AL,"12,612",,,,,,8.1,,,,,3.6,,,,,,,,,11.7
Multi-County Water Supply,EP,TX0500044,MULTI-COUNTY WSC,SW-Surface Water,31.467794,-97.998285,06, TX,"4,302",,,,,,9.5,,,,,,,,,,,,,,9.5
Multiple Plants,EP,TX0680002,CITY OF ODESSA,SW-Surface Water,31.884886,-102.345007,06, TX,"123,334",,,,,,,3.6,,,,,4.7,,,,,,,,8.3
Multiple Plants,,TX0940002,CITY OF SEGUIN,SW-Surface Water,29.585375,-97.959542,06, TX,"28,053",,,,,,,,,,,,,,,,,3.9,,,3.9
Multiple Plants,,TX1520002,LUBBOCK PUBLIC WATER SYSTEM,SW-Surface Water,33.565989,-101.884579,06, TX,"266,263",,,,,,5.3,,,,,,,,,,,,,,5.3
MUSCATINE POWER & WATER,EP,IA7048001,MUSCATINE POWER & WATER,GW-Groundwater,41.435319,-91.058005,07, IA,"23,797",,,,,,95,12.7,,,,,,,,,,8.8,,,116.5
Muscle Shoals,EP,AL0000314,COLBERT COUNTY RURAL WATER SYSTEM,SW-Surface Water,34.737634,-87.841874,04, AL,"13,395",,,,,,11,5.6,,,4.3,5.7,3.8,,,19.8,29.5,3,,,82.7
Mustang Pump Station,EP,TX1780006,NUECES COUNTY WCID 4,SW-Surface Water,27.770517,-97.118018,06, TX,"14,880",,,,,,10,,,,,,,,,,,,,,10
MVSD Interconnection,EP,OH5002303,YOUNGSTOWN CITY PWS,SW-Surface Water,41.098487,-80.6844,05, OH,"148,000",,,,,,,,,,,,3.9,,,,7,,,,10.9
MVSD Interconnection,,OH7802003,MCDONALD VILLAGE PWS,SW-Surface Water,41.162467,-80.726172,05, OH,"3,172",,,,,,,,,,,3.2,7.1,,,,18,,,,28.3
MWD Intertie,EP,CA1910139,CAL/AM WATER COMPANY - SAN MARINO,SW-Surface Water,34.119053,-118.110569,09, CA,"47,731",,,,,,5.3,,,,,,,,,,,,,,5.3
MY647,EP,WI7500726,PLOVER WATERWORKS,GW-Groundwater,44.4663,-89.541475,05, WI,"13,486",,,,,,7.5,,,,,,,,,,,,,,7.5
MYERS WELL,EP,PA1460069,AQUA PA PERKIOMEN TOWNSHIP,GW-Groundwater,40.219979,-75.469956,03, PA,"3,600",,,,,,,3,,,,,,,,4.9,6.3,,,,14.2
"N Virgil TP#1 (Wells 3, 5, 7, 10, 17-19 & 28-30)",EP,IN5271009,MISHAWAKA UTILITIES,GW-Groundwater,41.665161,-86.148054,05, IN,"49,675",,,,,,,3.7,,,,,4.3,,,,4.2,,,,12.2
N. Plymouth Well,EP,MA4239000,"PLYMOUTH WATER DEPARTMENT, MA",GW-Groundwater,41.955977,-70.673669,01, MA,"44,419",,,,,,,4,,,,,,,,,,3.1,,,7.1
Nancy Court Well,EP,NY2902826,GLEN COVE CITY,GW-Groundwater,40.870832,-73.628325,02, NY,"28,000",,,,,,,,,,,,,,,4.5,,,,,4.5
NAPOLEON CITY,EP,OH3500811,NAPOLEON CITY,SW-Surface Water,41.396698,-84.130243,05, OH,"8,858",,,,,,,,,,,,,,,,,3.3,,,3.3
NAPOLEON COMMUNITY RURAL WATER CORP.,EP,IN5269007,NAPOLEON COMMUNITY RURAL WATER CORP.,SW-Surface Water,39.205511,-85.326405,05, IN,"3,970",,,,,,,4.4,,,,,,,,,,,,,4.4
Nashville Interconnection,EP,IL1895600,WASHINGTON COUNTY WATER COMPANY,SW-Surface Water,38.210783,-89.038241,05, IL,"11,374",,,,,,8.2,,,,,,,,,,,,,,8.2
"NASHVILLE, TOWN OF",EP,NC0464020,"NASHVILLE, TOWN OF",SW-Surface Water,35.969077,-77.958721,04, NC,"5,600",,,,,,,,,,,,,,,5.8,6.6,,,,12.4
NCSA - WINTERGREEN,EP,VA2125910,NCSA - WINTERGREEN,GW-Groundwater,37.914001,-78.9369,03, VA,"6,861",,,,,,,6.3,,,5.6,8.8,,,,12,13,11,,,56.7
Neponset Street TP,EP,MA4050000,CANTON WATER DEPT,GW-Groundwater,42.170426,-71.126982,01, MA,"22,094",,,,,,,,,,,,,,,4.9,,,,,4.9
Neshaminy Plant Connection,EP,PA1090078,AQUA PA BENSALEM,SW-Surface Water,40.108834,-74.943147,03, PA,"59,001",,,,,,7.6,5.4,,,3.4,11.6,4.4,,,8,6.3,15.5,,,62.2
Neshaminy Pump,EP,PA1460073,AQUA PA MAIN SYSTEM,SW-Surface Water,40.013733,-75.370722,03, PA,"822,600",,,,,,8.2,5.1,,,3.9,12,4.8,,,9.6,8.2,13.6,,,65.4
NETCONG WATER DEPT,EP,NJ1428001,NETCONG WATER DEPT,GW-Groundwater,40.89738,-74.702787,02, NJ,"3,342",,,,,,,,,,,4.7,6,,,20.1,9.8,8.3,,,48.9
Neuse Regional Water Intertie,EP,NC0454025,NORTH LENOIR WATER CORP,SW-Surface Water,35.322877,-77.49087,04, NC,"15,215",,,,,,5,3.3,,,,4.4,3.4,,,4.8,8.1,4.7,,,33.7
Neuse Regional Wtr & Sewer Auth,EP,NC0474035,"GRIFTON, TOWN OF",SW-Surface Water,35.372972,-77.431481,04, NC,"2,982",,,,,,6.8,3.1,,,,4.2,3.7,,,4.5,9.1,4.5,,,35.9
NEW BALTIMORE REGIONAL,EP,VA6061318,NEW BALTIMORE REGIONAL,GW-Groundwater,38.741303,-77.713323,03, VA,"8,818",,,,,,,,,,,3.2,,,,,,,,,3.2
NEW CARLISLE CITY PWS,EP,OH1203312,NEW CARLISLE CITY PWS,GW-Groundwater,39.941748,-84.033347,05, OH,"5,800",,,,,,,5.5,,,,,,,,,,,,,5.5
New Castle TP,EP,PA6370034,PA AMER WATER CO NEW CASTLE,SW-Surface Water,41.00201,-80.34969,03, PA,"43,279",,,,,,5.7,,,,,,,,,,,3.1,,,8.8
New Kivley Well,EP,WA5305783,QUIMPER,GW-Groundwater,48.038604,-122.779163,10, WA,"14,500",,,,,,,3.1,,,,,,,,,,,,,3.1
New London Entry Point,EP,OH4701803,RURAL LORAIN CO. WATER A,SW-Surface Water,41.433628,-82.166026,05, OH,"73,125",,,,,,5,,,,,,,,,,,,,,5
NEW MARTINSVILLE,EP,WV3305203,NEW MARTINSVILLE,GW-Groundwater,39.626375,-80.866733,03, WV,"5,272",,,,,,,22.5,,,,3.6,12.8,,,7.2,5,,,,51.1
New Martinsville TP003,EP,WV3305203,NEW MARTINSVILLE,GW-Groundwater,39.626375,-80.866733,03, WV,"5,272",,,,,,,4,,,,,6.7,,,,,,,,10.7
New Micro Filtration Plant,EP,SD4600274,RAPID VALLEY SANITARY DISTRICT,SW-Surface Water,44.062382,-103.142401,08, SD,"10,000",,,,,,,,,,,,5.8,,,,,,,,5.8
New Pekin,EP,IN5288004,NEW PEKIN WATER UTILITY,SW-Surface Water,38.507488,-86.015475,05, IN,"2,025",,,,,,8.8,,,,,,,,,,,,,,8.8
New Plant (9 MGD),EP,AL0000933,ALBERTVILLE UTILITIES BOARD,SW-Surface Water,34.266374,-86.216309,04, AL,"29,367",,,,,,,,,,,4,,,,7.3,4.6,3.5,,,19.4
NEWBERRY CITY OF (3610001),EP,SC3610001,NEWBERRY CITY OF (3610001),SW-Surface Water,34.280868,-81.617731,04, SC,"9,573",,,,8.6,,,4.1,,,,5.8,,,,5.3,8.9,5.5,,,38.2
NEWBERRY CO W&SA (3620002),EP,SC3620002,NEWBERRY CO W&SA (3620002),SW-Surface Water,34.282705,-81.615508,04, SC,"9,941",,,,8.1,,,,,,,3.8,,,,4,6.9,3.8,,,26.6
Newby & Lawson Well TP,EP,AL0000833,LIMESTONE COUNTY WATER SYSTEM,GU-Groundwater Under Influence of Surface Water,34.761186,-87.025139,04, AL,"65,000",,,,,,24.9,12.4,,,,7.2,6.8,,,8.7,11.1,5.4,,,76.5
NEWCASTLE,EP,OK2004704,NEWCASTLE,SW-Surface Water,35.248315,-97.635536,06, OK,"7,900",,,,,,5.2,,,,,,,,,,,,,,5.2
Newport Harbor Pump Station,EP,TX0430011,CITY OF WYLIE,SW-Surface Water,33.005064,-96.552637,06, TX,"47,322",,,,,,7.8,6.6,,,,8,,,,,,8.9,,,31.3
NEWPORT WATER SYSTEM,EP,NC0416020,NEWPORT WATER SYSTEM,GW-Groundwater,34.765582,-76.864201,04, NC,"4,829",,,,,,,,,,,,,,,,6.8,,,,6.8
Newstar Wells 1 & 2,EP,NJ1918004,SPARTA TWP WATER UTILITY - LAKE MOHAWK,GW-Groundwater,41.019862,-74.65227,02, NJ,"17,628",,,,,,,,,,,,,,,5.5,4.5,,,,10
Newton County,EP,GA2170001,COVINGTON,SW-Surface Water,33.593876,-83.84978,04, GA,"17,272",,,,,,5,,,,,9.9,,,,,,13.2,,,28.1
NEWTOWN TP EFFLUENT,EP,CT0970011,AQUARION WATER CO OF CT-NEWTOWN SYSTEM,GW-Groundwater,41.376476,-73.272466,01, CT,"6,054",,,,,,,,,,,5.8,,,,5.5,5.5,6.7,,,23.5
Niles Interconnection (from MVSD),EP,OH7801103,GIRARD CITY PWS,SW-Surface Water,41.156288,-80.68866,05, OH,"14,122",,,,,,,,,,,,6.2,,,,13.3,,,,19.5
Niles Interconnection from MVSD,EP,OH7806303,TRUMBULL CO.-HOWLAND TWP PWS,SW-Surface Water,41.239438,-80.742603,05, OH,"5,783",,,,,,,,,,,,4.2,,,,11,,,,15.2
NJ American Water,EP,NJ0408001,CITY OF CAMDEN,GW-Groundwater,39.920467,-75.108957,02, NJ,"46,585",,,,,,,,,,,4.6,,,,,,4.7,,,9.3
NJ AMERICAN WATER - WASHINGTON/OXFORD,EP,NJ2121001,NJ AMERICAN WATER - WASHINGTON/OXFORD,GW-Groundwater,40.757074,-74.992899,02, NJ,"10,719",,,,,,,,,,,,3,,,9.4,11,,,,23.4
